,OBJECTID,Reg_Code,Reg_Name,Pro_Code,Pro_Name,Mun_Code,Mun_Name,Shape_Leng,Shape_Area,area,population,N_data,N_data_1,Wind_Speed,wind_10-31_3,wind_10-31_6,wind_10-31_9,wind_10-31_12,wind_10-31_15,wind_10-31_18,wind_10-31_21,wind_11-01_0,wind_11-01_3,wind_11-01_6,wind_11-01_9,wind_11-01_12,wind_11-01_15,wind_11-01_18,wind_11-01_21,wind_11-02_0,Max_Wind_Speed
1493,1494,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166803000,CITY OF BISLIG,1.40437869437,0.03395282499,418.332756702,41998.818977999996,1,,11.658969099117401,11.658969099117401,6.25988341859434,7.4286757138559905,18.3233626309386,16.1660765879483,18.5001352985359,18.4529741993265,23.565887217715503,15.4584143369603,20.2975408004446,12.8982528252321,30.940336501804104,25.4751543099788,24.8921891699398,21.6243725458482,18.429376367997502,30.940336501804104
1494,1495,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166804000,CAGWAIT,0.58268347613,0.00643292877,79.2601153752,7957.37647719,1,,28.9057486215487,28.9057486215487,10.387800421417099,8.27049484154294,9.70801504659416,21.2287640727098,14.7086303568454,14.2445815031915,15.0270379098517,20.310220294121102,25.1267835990338,6.90589099547868,25.1477309164793,14.6560268981744,10.753034164893698,15.67567371035,15.8646933499485,28.9057486215487
1495,1496,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166805000,CANTILAN,1.23856397981,0.01668614881,205.590039488,20640.3603682,0,,3.6445565779847207,3.6445565779847207,9.756013288534321,10.4123524172024,13.517964185050198,10.3759509633849,17.0781140860575,13.1299759648016,11.577036564427301,11.1042986919963,10.163517352401199,6.7170109888211105,13.945394709180901,6.12003044147012,5.63091818706886,7.44840915224269,3.73745068929258,17.0781140860575
1496,1497,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166806000,CARMEN,0.76714872553,0.01301194253,160.32014391200002,16095.456535100002,1,,3.6445565779847207,3.6445565779847207,2.93024981407502,1.96482442481197,3.9925765461213,5.2351549543607305,4.35421645511491,4.61250631742018,3.4770482776573903,4.08361273758031,7.0877781323025095,1.75006919514231,1.89460656661739,1.9980467466014498,2.28737539326946,2.44534026003104,0.301807370819092,7.0877781323025095
1497,1498,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166807000,CARRASCAL,1.54264628849,0.020055067969999996,247.09849245799998,24807.6314566,0,,3.4421949603343798,3.4421949603343798,9.756013288534321,10.4123524172024,13.517964185050198,10.3759509633849,17.0781140860575,13.1299759648016,11.577036564427301,11.1042986919963,10.163517352401199,6.7170109888211105,13.945394709180901,6.12003044147012,5.63091818706886,7.44840915224269,3.73745068929258,17.0781140860575
1498,1499,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166808000,CORTES,0.75307099,0.00988517765,121.795273826,12227.7244032,1,,3.6445565779847207,3.6445565779847207,9.06474423790911,10.4123524172024,13.517964185050198,10.3759509633849,15.3589512821903,7.4513881429490105,5.334295885568769,8.29512662915051,10.163517352401199,6.7170109888211105,13.945394709180901,6.12003044147012,5.63091818706886,7.44840915224269,3.73745068929258,15.3589512821903
1499,1500,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166809000,HINATUAN,1.5667796938499998,0.02653246586,326.906511861,32820.015154,1,,11.658969099117401,11.658969099117401,6.25988341859434,7.4286757138559905,18.3233626309386,16.1660765879483,18.5001352985359,18.4529741993265,23.565887217715503,15.4584143369603,20.2975408004446,12.8982528252321,30.940336501804104,25.4751543099788,24.8921891699398,21.6243725458482,18.429376367997502,30.940336501804104
1500,1501,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166810000,LANUZA,1.00205964162,0.0261045294,321.633906737,32290.6681579,1,,3.6445565779847207,3.6445565779847207,9.06474423790911,10.4123524172024,13.517964185050198,10.3759509633849,15.3589512821903,7.4513881429490105,5.334295885568769,8.29512662915051,10.163517352401199,6.7170109888211105,13.945394709180901,6.12003044147012,5.63091818706886,7.44840915224269,3.73745068929258,15.3589512821903
1501,1502,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166811000,LIANGA,1.03499029131,0.025741106370000003,317.156171585,31841.122706200003,1,,3.6445565779847207,3.6445565779847207,2.93024981407502,1.96482442481197,4.35018492833458,5.2351549543607305,4.53399545036295,4.61250631742018,4.71293691929144,8.028586208026951,7.91942438175262,1.8968789957378402,5.27208029019053,1.9980467466014498,2.4957107802002203,2.44534026003104,4.4260782803139405,8.028586208026951
1502,1503,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166812000,LINGIG,1.6136150413600001,0.02450649525,301.944527975,30313.938769200002,1,,9.668330508551358,9.668330508551358,3.2250118637909595,6.8577651490290705,7.490224757630219,6.961107914271509,9.82457878560053,7.65520892190416,9.81282234818657,13.355576453979001,12.7112769070523,9.843932230440249,8.31002651979288,8.17581057774952,8.16312030088913,5.985918498696459,6.19534107262762,13.355576453979001
