"disaster_type","disaster_name","pcode","Completely.damaged..abs..","Partly.damaged..abs..","Total.damaged.houses..abs..","total_damage_houses_0p25weight","Partly.damaged..rel..","Completely.damaged..rel..","Total.damaged.houses..rel..","total_damage_houses_0p25weight_perc","ratio_comp_part","Total...of.houses","Wind.speed","Distance.to.typhoon","rainfall","distance_first_impact","Slope","Elevation","ruggedness_stdev","Ruggedness","slope_stdev","Population","land_area","Population.density","Poverty.incidence","X..strong.roof.type","X..strong.wall.type","X..skilled.Agriculture.Forestry.Fishermen","Region","prov","Experience","Prop.Completely.Damaged","Prop.Damaged","td.residual"
"Typhoon","Bopha","PH072245000",65,513,578,193.25,11.49129193,1.456011648,12.94730358,4.328834631,0.196617905,4464.249999,90,35.10460488,153,410.190629,6.058902812,199.764899,17.19534846,28.78472504,4.025482566,17861,39.5831,451.227,0.2792,0.806823529,0.475058824,0.140561125,"central","0",1.277777778,0.112456747383999,0.1294730358,0.0521202424336649
"Typhoon","Melor","PH084802000",2229,744,2973,2415,25.29106824,75.77122461,99.99,82.09399167,2.92004965,2941.749999,149.0400112,4.180056419,207.6,87.80542705,5.281523364,28.37818553,19.48155612,28.35554192,4.242815566,11766,31.5285,373.1857,0.5536,0.311229001,0.409814324,0.14005269,"central","0",2.333333333,0.75778802490249,0.9999,0.205486138425475
"Typhoon","Rammasun","PH086003000",264,3185,3449,1060.25,6.929524452,0.574378165,7.503902617,2.306759278,0.198546354,45962.75,49.85083157,90.03391646,294.3529412,112.7495849,8.958699271,149.0091089,29.25370695,47.46468657,6.417871179,183835,1066.5019,172.3723,0.2485,0.581483931,0.36900574,0.102751685,"central","0",1.4,0.0765439257831989,0.07503902617,-0.0325199621112098
"Typhoon","Haima","PH012816000",25,896,921,249,14.41325505,0.402155554,14.8154106,4.005469316,0.090970762,6216.5,98.91831298,23.04283721,196.2,181.1205269,2.235932408,21.82137021,9.631257968,12.50707511,2.10008718,24866,75.5702,329.0471,0.1124,0.919793966,0.882266372,0.126236628,"north luzon","0",3.262295082,0.0271444082690493,0.148154106,0.010915807577541
"Typhoon","Nock-Ten","PH052003000",1493,3375,4868,2336.75,63.44283096,28.06522863,91.50805959,43.92593637,0.451023461,5319.75,130.794269,11.53229098,279,6.625231917,11.80840533,149.8402576,34.17486569,57.58810074,7.758878447,21279,62.8066,338.7946,0.2354,0.75376773,0.581137923,0.07044504,"central","catanduane",1.875,0.306696795405188,0.9150805959,0.299919583969808
"Typhoon","Haiyan","PH060612000",292,1976,2268,786,21.26102862,3.141811922,24.40284054,8.457069077,0.186056628,9294.000001,88.68852367,64.09978987,385,328.3661795,10.17427422,135.2916066,37.62376046,51.10338248,7.844706494,37182,156.4189,237.7078,0.2638,0.76206089,0.41147541,0.113514095,"central","0",1,0.128747795440047,0.2440284054,0.078290071452495
"Typhoon","Rammasun","PH030812000",10,730,740,192.5,8.272423367,0.113320868,8.385744235,2.18142671,0.12006795,8824.5,60.00782954,61.53666749,303.6,439.9187128,4.81650195,177.6464398,33.63527998,25.51786543,6.580555853,35298,54.3322,649.6806,0.0458,0.958316897,0.851150559,0.050654428,"metro luzon","0",1.153846154,0.0135135135086791,0.08385744235,0.0743735880000315
"Typhoon","Rammasun","PH051610000",161,2645,2806,822.25,25.94027362,1.578973177,27.5192468,8.064041583,0.095729287,10196.5,90.03222918,43.94863691,276.6857143,226.6439811,5.859002663,84.28902097,32.04459407,31.0836944,6.749012336,40786,238.3028,171.1519,0.3037,0.62875817,0.540949684,0.128794194,"central","0",1.533333333,0.0573770491785407,0.275192468,0.0800246774589512
"Typhoon","Nock-Ten","PH051716000",3760,10016,13776,6264,35.84920855,13.45776998,49.30697853,22.42007212,0.392349539,27939.25,126.2836676,5.447272769,245.2,97.30802878,5.451574333,142.4085699,29.29067368,27.55313515,6.297763273,111757,166.1081,672.7973,0.2301,0.776191573,0.70124787,0.051101944,"central","0",2.104477612,0.272938443628458,0.4930697853,0.0993543494775619
"Typhoon","Kalmaegi","PH143206000",1,9,10,3.25,0.412229474,0.045803275,0.458032749,0.148860644,0.740533528,2183.250002,65.91377038,66.27079627,129.6,112.5662086,21.28353341,799.7729643,52.24476413,106.7854911,10.24539533,8731,71.7506,121.6866,0.2614,0.993634259,0.40162037,0.129737776,"north luzon","0",4.28,0.100000000218325,0.00458032749,-0.0508845875197883
