disaster_type,disaster_name,pcode,Completely damaged (abs.),Partly damaged (abs.),Total damaged houses (abs.),total_damage_houses_0p25weight,Partly damaged (rel.),Completely damaged (rel.),Total damaged houses (rel.),total_damage_houses_0p25weight_perc,ratio_comp_part,Total # of houses,Wind speed,Distance to typhoon,rainfall,distance_first_impact,Slope,Elevation,ruggedness_stdev,Ruggedness,slope_stdev,Predicted damage class (1-5),Population,land_area,Population density,Poverty incidence,% strong roof type,% strong wall type,% skilled Agriculture/Forestry/Fishermen,Region,prov,Experience,Bicol region
Typhoon,Bopha,PH103508000,1,11,12,3.75,0.16293279,0.014812072,0.177744862,0.055545269,0.872631747,6751.250002,70,70.35025092,254,299.6691158,8.127559805,150.0787431,26.59570801,40.46747131,5.966286008,,26992,80.6024,334.8769,0.3618,0.662094562,0.363240278,0.101203481,minandao,0,1,0
Typhoon,Bopha,PH103509000,7,11,18,9.75,0.064966705,0.041342448,0.106309153,0.057584124,0.977816906,16931.74999,61.43383189,90.35443835,200.6173763,311.7522328,1.147821133,14.79089916,8.002096536,6.985367214,1.679605058,,67743,148.4677,456.2816,0.433,0.692169636,0.524284101,0.075819097,minandao,0,1,0
Typhoon,Bopha,PH103516000,37,214,251,90.5,3.071843824,0.531113185,3.602957009,1.299074141,0.376024536,6966.499999,78.27607705,60.18888374,328,269.3229869,7.588149764,662.3603679,29.17239018,37.92596525,6.129689008,,27867,60.708,459.0353,0.6731,0.917344754,0.271520343,0.145446063,minandao,0,1,0
Typhoon,Bopha,PH103518000,3,6,9,4.5,0.075365049,0.037682525,0.113047574,0.056523787,0.964958388,7961.250013,60.00137387,88.67120622,163,297.1187965,5.824929726,158.1595899,34.89986169,29.66598698,7.190943794,,31846,111.3301,286.049,0.6866,0.567369654,0.38682284,0.13835767,minandao,0,1,0
Typhoon,Bopha,PH103519000,27,67,94,43.75,1.257684546,0.506828101,1.764512647,0.821249237,0.667421896,5327.250001,54.82145064,97.79624543,163,301.5390133,7.804574007,209.1424305,34.72459243,38.60543389,7.509867071,,21315,142.0755,150.0258,0.5843,0.597841066,0.317409279,0.095546483,minandao,0,1,0
Typhoon,Bopha,PH103520000,1,50,51,13.5,1.509092281,0.030181846,1.539274127,0.407454916,0.410579497,3313.249999,90,41.85363247,351.2886753,255.692516,10.39485419,463.9950773,29.09271102,51.04864857,6.358297716,,13260,132.076,100.3967,0.6985,0.939905734,0.071877455,0.20440655,minandao,0,1,0
Typhoon,Bopha,PH103522000,1,20,21,6,0.169617301,0.008480865,0.178098166,0.05088519,0.862231487,11791.25,68.56966142,80.98138783,255.646143,297.79175,8.611866828,259.3123874,44.58722998,43.83502584,8.992280393,,47163,202.0291,233.4462,0.3799,0.752123482,0.360215545,0.103996608,minandao,0,1,0
Typhoon,Bopha,PH104201000,6,1,7,6.25,0.014479638,0.086877828,0.101357466,0.090497738,1.071364853,6906.250004,84.23772788,47.09865014,333.4908905,321.4715578,11.37867789,334.0730397,55.9205382,61.36505804,10.58447746,,27631,133.1469,207.522,0.3958,0.716299699,0.472200222,0.072217195,minandao,0,1,0
Typhoon,Bopha,PH104202000,6,1,7,6.25,0.023402762,0.140416569,0.163819331,0.14626726,1.114337983,4272.999992,99.36666783,32.23348302,169,343.5850759,1.945444304,26.39983022,10.61734669,11.3372451,2.144675096,,17095,71.0478,240.6123,0.4961,0.500130174,0.269200729,0.129885327,minandao,0,1,0
Typhoon,Bopha,PH104205000,34,11,45,36.75,0.117183339,0.362203047,0.479386385,0.391498881,1.219319157,9387.000008,71.94618366,64.69767897,296.5773666,315.5260212,10.04093395,349.2938662,61.69288786,53.73334404,11.51749223,,37534,94.4076,397.5651,0.3347,0.807984562,0.463885204,0.082108235,minandao,0,1,0
Typhoon,Bopha,PH104207000,1,3,4,1.75,0.043393361,0.014464454,0.057857814,0.025312794,0.972274208,6913.50005,80.00791103,53.0156186,334.6837423,319.1370546,11.89763861,400.4297742,53.87123844,63.1788325,10.53333851,,27653,76.0624,363.5566,0.2795,0.810369431,0.521484065,0.103240038,minandao,0,1,0
Typhoon,Bopha,PH104208000,1,3,4,1.75,0.047894632,0.015964877,0.063859509,0.027938535,0.969529613,6263.750008,91.08369891,39.76051208,286.2557697,331.0074745,7.114527152,240.2416167,37.4117196,38.505954,7.294023461,,25057,136.1662,184.0179,0.4421,0.692917456,0.324831983,0.110596687,minandao,0,1,0
Typhoon,Bopha,PH104209000,12,12,24,15,0.067837811,0.067837811,0.135675622,0.084797264,1,17689.25003,87.46846252,42.77633893,314.887789,326.0556385,8.545048477,249.9282404,50.46971301,46.17645526,9.503747581,,70751,184.8828,382.6813,0.2224,0.804100367,0.487025704,0.065124299,minandao,0,1,0
Typhoon,Bopha,PH104210000,23,78,101,42.5,0.21998477,0.064867304,0.284852074,0.119863497,0.872852949,35457.00004,70,69.74764163,308.2835512,313.6795716,4.697178867,215.8374392,30.65564256,24.36491758,5.677625449,,141840,180.8551,784.2823,0.2093,0.902653075,0.430601499,0.053219393,minandao,0,1,0
Typhoon,Bopha,PH104211000,1,1,2,1.25,0.039181115,0.039181115,0.078362229,0.048976393,1,2552.250013,82.52431773,48.60330102,352.6052559,317.1359942,5.416462198,242.3780997,29.37847225,28.7211531,5.78796086,,10209,41.0832,248.4948,0.3177,0.783042394,0.471321696,0.091879714,minandao,0,1,0
Typhoon,Bopha,PH104216000,10,20,30,15,0.276510438,0.138255219,0.414765657,0.207382829,0.891692841,7233.000007,75.46633891,61.72313264,308.4027534,318.4883955,12.16438935,501.9635292,67.51332879,66.58752312,12.18361502,,28933,138.3498,209.1296,0.3807,0.766542981,0.409245516,0.115685055,minandao,0,1,0
Typhoon,Bopha,PH104301000,5,43,48,15.75,0.578656978,0.067285695,0.645942673,0.211949939,0.676071946,7430.999995,120.1973165,3.58051988,351.6002243,254.3222665,9.224679393,206.5041233,39.55851267,47.17543781,8.360442332,,29725,142.9117,207.9951,0.3543,0.728726891,0.32791399,0.130500606,minandao,0,1,0
Typhoon,Bopha,PH104303000,1,6,7,2.5,0.217174916,0.036195819,0.253370736,0.090489548,0.85131217,2762.749997,80,63.0469159,330.8096676,237.1275408,10.20894898,629.7903683,41.09749779,51.75513653,7.608322278,,11050,83.2188,132.7839,0.3326,0.941150245,0.414177441,0.069857931,minandao,0,1,0
Typhoon,Bopha,PH104304000,11,71,82,28.75,3.77910845,0.585495675,4.364604125,1.530272788,0.331755534,1878.75,80.00127926,57.23777067,328,243.0261786,8.017611629,216.7224547,14.17400655,37.89300683,3.269863077,,7512,14.707,510.7696,0.2873,0.913328956,0.439264609,0.067332003,minandao,0,1,0
Typhoon,Bopha,PH104305000,29,114,143,57.5,0.067460611,0.017161033,0.084621644,0.034026185,0.952879218,168987.4992,117.3769913,6.286721428,404.9847876,232.6225666,9.956119903,286.7208654,35.16087018,51.93110011,7.594867355,,675963,620.3291,1089.6864,0.0773,0.974883085,0.68035894,0.016300022,minandao,0,1,0
Typhoon,Bopha,PH104306000,1,70,71,18.5,0.572526888,0.008178956,0.580705844,0.151310678,0.641120329,12226.5,89.46781781,42.65447886,378,209.6155066,15.71291151,1006.415866,72.94237389,82.47822121,12.89737307,,48910,766.2526,63.8301,0.3908,0.907146108,0.26827492,0.121764201,minandao,0,1,0
Typhoon,Bopha,PH104307000,7,20,27,12,0.159349853,0.055772448,0.215122301,0.095609912,0.910659061,12551,124.9031319,2.212585175,377.1937441,249.0294999,4.832108152,89.79766575,22.78843654,25.49171258,4.744181212,,50196,104.0039,482.6362,0.2369,0.76903467,0.433766675,0.080850131,minandao,0,1,0
Typhoon,Bopha,PH104308000,239,2168,2407,781,6.957191451,0.766959759,7.72415121,2.506257621,0.222058219,31162,78.32962097,58.92611511,275.4102083,206.689405,13.11428754,573.1198656,59.59969019,67.31146953,10.69180071,,124634,713.3768,174.7064,0.2774,0.873526056,0.36613829,0.089965342,minandao,0,1,0
Typhoon,Bopha,PH104309000,8,4,12,9,0.097721859,0.195443718,0.293165577,0.219874183,1.089022423,4093.250007,121.2196454,1.675918814,296,261.1314624,5.177963246,105.7194169,21.55011548,27.98905042,4.382816386,,16381,48.1409,340.2704,0.3503,0.801401869,0.410955348,0.113968118,minandao,0,1,0
Typhoon,Bopha,PH104312000,4,14,18,7.5,0.389132096,0.111180599,0.500312695,0.208463623,0.799909959,3597.750003,80,62.14618103,330.3772626,242.822319,7.472845026,332.8309726,29.55518162,38.21486667,5.985510556,,14397,54.3789,264.752,0.2758,0.797252011,0.355227882,0.10721979,minandao,0,1,0
Typhoon,Bopha,PH104314000,1,33,34,9.25,0.540872772,0.016390084,0.557262856,0.151608277,0.659619731,6101.25,127.1545873,6.965670899,296,258.262063,3.34936066,79.76197022,11.7500146,17.15932807,2.578217791,,24414,44.6411,546.8944,0.3541,0.892219843,0.511955746,0.099651711,minandao,0,1,0
Typhoon,Bopha,PH104315000,3,55,58,16.75,1.780799741,0.097134531,1.877934272,0.542334467,0.394539209,3088.5,120,2.725629118,296.9953471,262.7588504,8.094552432,149.5153488,27.9104267,44.01603237,5.772317728,,12353,43.8531,281.6919,0.4711,0.82046546,0.428518655,0.127974745,minandao,0,1,0
Typhoon,Bopha,PH104316000,15,60,75,30,1.214697844,0.303674461,1.518372305,0.607348922,0.588646647,4939.5,109.5556169,24.97907794,375,262.8844305,9.792830596,207.2210412,26.29840859,48.01516837,6.003608211,,19764,46.8926,421.4751,0.2125,0.945333943,0.466148216,0.071920235,minandao,0,1,0
Typhoon,Bopha,PH104317000,56,370,426,148.5,4.276838607,0.647305303,4.92414391,1.716514954,0.312176556,8651.25,69.72003371,83.26328832,282.0719049,212.7300809,9.085457101,103.1096899,27.32852763,46.67988693,6.038273468,,34605,138.5734,249.7228,0.4824,0.683931133,0.315351506,0.13515388,minandao,0,1,0
Typhoon,Bopha,PH104318000,1,20,21,6,0.281472099,0.014073605,0.295545704,0.08444163,0.791334907,7105.500001,110,19.55641656,375,257.596726,12.20198161,326.7734184,40.39315161,60.44916709,8.60361125,,28419,129.1262,220.0865,0.2824,0.904328733,0.398966165,0.094363521,minandao,0,1,0
