pcode,N damaged,P damaged,N houses,Wind speed,Distance to typhoon,Poverty incidence,p strong roof,p strong wall,Experience,Region
PH166804000,17,0.00333595,5096.000005,60,131.1292119,0.2377,0.621208613,0.23801806,1,minandao
PH166806000,1,0.000386585,2586.749991,50,139.5169839,0.2459,0.52031115,0.467156439,1,minandao
PH166808000,16,0.004022122,3978,50,155.2860312,0.2334,0.571022727,0.375,1,minandao
PH166809000,223,0.022388434,9960.500001,71.67780752,81.04390367,0.2935,0.369942857,0.163085714,1,minandao
PH166810000,1,0.000333306,3000.249997,50,143.3299109,0.3314,0.390297685,0.357956634,1,minandao
PH166811000,25,0.003390635,7373.250002,60.00008429,101.2858849,0.2924,0.76304768,0.175257732,1,minandao
PH166812000,3652,0.463966968,7871.25,89.22454371,46.40189739,0.3397,0.411198851,0.143431443,1,minandao
PH166814000,25,0.005400151,4629.499999,60,120.7831458,0.3803,0.560523446,0.302344602,1,minandao
PH166815000,5,0.000878002,5694.750001,60,113.1308933,0.3737,0.579815303,0.302110818,1,minandao
PH166817000,1350,0.139056988,9708.250002,70.24275142,79.28374267,0.3168,0.655806684,0.25402741,1,minandao
PH166819000,3,0.000212902,14091.00004,50,140.979112,0.1604,0.633774669,0.321957716,1,minandao
PH168502000,1,0.000237982,4201.999971,40.06808987,209.7345497,0.5557,0.687851971,0.414320193,1,central
PH168503000,1,0.000376223,2658.000004,40,202.0367228,0.5763,0.72053407,0.475138122,1,central
PH175303000,12,0.003219532,3727.25,73.23378635,66.83869473,0.2772,0.481908921,0.2551466,1,central
PH175308000,12,0.007637232,1571.25,103.6932519,10.76308723,0.2254,0.752727273,0.440909091,1,central
PH175311000,3,0.000505604,5933.499973,80.21891303,47.55428916,0.308,0.359909675,0.214347751,1,central
PH175320000,848,0.045127386,18791.25,67.99597617,64.14804959,0.3335,0.481648221,0.237729006,1,central
PH012801000,1,0.002232143,448,40,173.0226707,0.1791,0.97323601,0.610705596,3.262295082,north luzon
PH012802000,2,0.000248332,8053.750084,40,211.4251782,0.1141,0.994298302,0.91136452,3.262295082,north luzon
PH012804000,1,0.000272628,3667.999996,40,186.3261267,0.1197,0.961233729,0.890209394,3.262295082,north luzon
PH012805000,1,7.25E-05,13800.25007,40,228.6530584,0.11,0.977486233,0.866699061,3.262295082,north luzon
PH012806000,1,0.000409123,2444.25,40,196.2046075,0.1378,0.897959184,0.807823129,3.262295082,north luzon
PH012809000,1,0.000103729,9640.499972,40,214.6721366,0.1452,0.973433405,0.885513462,3.262295082,north luzon
PH012811000,1,0.000205782,4859.499951,40,227.7435691,0.1576,0.945261253,0.832390862,3.262295082,north luzon
PH012812000,1,3.60E-05,27781.24973,40,218.9755686,0.0963,0.98695596,0.927332214,3.262295082,north luzon
PH012813000,4,0.000900039,4444.250004,40,220.4376646,0.155,0.960704261,0.87445777,3.262295082,north luzon
PH012815000,5,0.000841397,5942.500001,40.98427429,171.9488094,0.1578,0.802100608,0.790860512,3.262295082,north luzon
PH012817000,1,0.000138026,7245.000028,40,202.9931067,0.1275,0.936655799,0.851731098,3.262295082,north luzon
PH012818000,1,0.000186072,5374.250007,40,205.0825898,0.1397,0.967735306,0.86621455,3.262295082,north luzon
PH012821000,5,0.000793273,6303.00001,40,216.8021362,0.1228,0.989810511,0.900250268,3.262295082,north luzon
PH012822000,1,0.000165831,6030.249999,40,207.1482529,0.1333,0.977609108,0.898481973,3.262295082,north luzon
